FitNr,key,MP/mpi2,lmax/shells,kmax/momlu,2b-model,l1r,l2r,l3r,l4r,csc/mpi^{-2},csp208,ms208/mpi,crc208/mpi^{-2},crp208,mr208/mpi,csc305/mpi^{-2},csp305,ms305/mpi,crc305/mpi^{-2},crp305,mr305/mpi,chi2dof,Ndata,Npars,ReP208/mpi,ImP208/mpi,ReP305/mpi,ImP305/mpi
71,no34mIAM-general_x_p_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.00476428,0.00392073,/,/,/,12.8954,4.92327,/,/,/,/,/,/,/,/,/,1.1383742644600503,27,4
72,no34mIAM-general_x_p_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.00476428,0.00392073,/,/,/,12.8955,4.92324,/,/,/,/,/,/,/,/,/,1.13837438309608,27,4
73,mIAM-general_p_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00463206,0.00416905,0.0065885,0.00484111,/,/,/,/,57909.9,68.4678,/,/,/,/,/,,1.0637130480941235,27,6
74,mIAM-general_p_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.004632,0.00416915,0.00658875,0.00484269,/,/,/,/,61720,70.7776,/,/,/,/,/,,1.0638451782008544,27,6
75,mIAM-general_p_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00463206,0.00416905,0.0065885,0.00484111,/,/,/,/,57909.9,68.4678,/,/,/,/,/,,1.0637130480941235,27,6
76,no4mIAM-general_p_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00459543,0.00425962,0.0066302,/,/,/,/,/,3.02716e-06,4.0573e-05,/,/,/,/,/,,1.1601605562248467,27,5
77,no4mIAM-general_p_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00464231,0.00416646,0.00655461,/,/,/,/,/,59071.6,69.0025,/,/,/,/,/,,1.016714366505313,27,5
78,no4mIAM-general_p_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00459543,0.00425962,0.0066302,/,/,/,/,/,3.02716e-06,4.0573e-05,/,/,/,/,/,,1.1601605562248467,27,5
79,no34mIAM-general_p_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.004709,0.00403009,/,/,/,/,/,/,0.0282282,15767.2,/,/,/,/,/,,1.304122388971122,27,4
80,no34mIAM-general_p_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.00475542,0.00393793,/,/,/,/,/,/,60050.6,69.4679,/,/,/,/,/,,1.1622662688234533,27,4
81,no34mIAM-general_p_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.004709,0.00403009,/,/,/,/,/,/,0.0282282,15767.2,/,/,/,/,/,,1.304122388971122,27,4
82,mIAM-general_x_pc_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00465173,0.00413176,0.00616698,0.00476619,23.0181,761.34,6.95964,/,/,/,/,/,/,/,/,/,1.063553895869026,27,7
83,mIAM-general_x_pc_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.00465173,0.00413176,0.00616689,0.00476631,23.0248,761.805,6.96039,/,/,/,/,/,/,/,/,/,1.0635538958503385,27,7
84,mIAM-general_x_pc_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00465173,0.00413176,0.00616698,0.00476619,23.0181,761.34,6.95964,/,/,/,/,/,/,/,/,/,1.063553895869026,27,7
85,no4mIAM-general_x_pc_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00466116,0.00412959,0.00614909,/,21.413,667.937,6.81879,/,/,/,/,/,/,/,/,/,1.0139511912001473,27,6
86,no4mIAM-general_x_pc_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00466115,0.00412959,0.00614914,/,21.4179,668.27,6.8194,/,/,/,/,/,/,/,/,/,1.0139511911862344,27,6
87,no4mIAM-general_x_pc_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00466116,0.00412959,0.00614909,/,21.413,667.937,6.81879,/,/,/,/,/,/,/,/,/,1.0139511912001473,27,6
88,no34mIAM-general_x_pc_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM2,-0.00476581,0.00391828,/,/,93.928,9379.15,10.7705,/,/,/,/,/,/,/,/,/,1.1321624568930866,27,5
89,no34mIAM-general_x_pc_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM2,-0.00476581,0.00391828,/,/,93.5444,9302.87,10.7516,/,/,/,/,/,/,/,/,/,1.132163729492988,27,5
90,no34mIAM-general_x_pc_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM2,-0.00476581,0.00391828,/,/,93.928,9379.15,10.7705,/,/,/,/,/,/,/,/,/,1.1321624568930866,27,5
91,mIAM-general_pc_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM4,-0.00463208,0.00416901,0.00658846,0.00484103,/,/,/,-12.3916,780.732,145.702,/,/,/,/,/,,1.1168403607716058,27,7
92,mIAM-general_pc_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM4,-0.00463202,0.00416912,0.0065886,0.00484256,/,/,/,-12.3478,763.468,142.705,/,/,/,/,/,,1.116984882217714,27,7
93,mIAM-general_pc_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM4,-0.00463208,0.00416901,0.00658846,0.00484103,/,/,/,-12.3916,780.732,145.702,/,/,/,/,/,,1.1168403607716058,27,7
94,no4mIAM-general_pc_x_x-mp_1.0-lm_3-km_5,1.0,3,5,mIAM3,-0.00464238,0.00416632,0.00655442,/,/,/,/,-12.5099,631.834,2493.41,/,/,/,/,/,,1.0649356039032856,27,6
95,no4mIAM-general_pc_x_x-mp_1.0-lm_4-km_5,1.0,4,5,mIAM3,-0.00464233,0.00416642,0.00655454,/,/,/,/,-12.4658,657.451,874.903,/,/,/,/,/,,1.0650766715136217,27,6
96,no4mIAM-general_pc_x_x-mp_1.0-lm_35-km_5,1.0,35,5,mIAM3,-0.00464238,0.00416632,0.00655442,/,/,/,/,-12.5099,631.834,2493.41,/,/,/,/,/,,1.0649356039032856,27,6
